id|identifier|fullName|otherNames|legalForm|predecessor|successor|address|buildingNumber|street|municipality|postalCodes|country|establishmentDate|terminationDate
9370617|00331996|Mesto Trebišov||Obec (obecný úrad), mesto (mestský úrad)|||Trebišov, M. R. Štefánika 862/204, 07525, Slovenská republika|204|M. R. Štefánika|Trebišov|['07525']|Slovenská republika|1973-07-01|
4693711|31942644|ŠK Roma Zámutov||Združenie (zväz, spolok, spoločnosť, klub ai.)||||||Zámutov|['09415']|Slovenská republika|1992-07-17|
8515254|50407376|MSP Košice s.r.o.||Spoločnosť s ručením obmedzeným||||360/16|Kupeckého|Košice - mestská časť Juh|['040 01']|Slovenská republika|2016-07-16|
999516|31713874|Roľnícke družstvo KOROMĽA||Družstvo||||165||Koromľa|['07262']|Slovenská republika|1995-09-25|
602150|31588506|ERPOS, spol. s r.o.||Spoločnosť s ručením obmedzeným||||1609/29|Vendelína Javorku|Žilina|['010 01']|Slovenská republika|1993-07-06|
9642901|35514892|JUDr. Iveta Rajtáková, advokátka||Slobodné povolanie-fyzická osoba podnikajúca na základe iného ako živnostenského zákona||||20|Štúrova|Košice - mestská časť Staré Mesto|['04001']|Slovenská republika|1996-01-01|
670906|45425183|GTIS charging SK s.r.o.||Spoločnosť s ručením obmedzeným||||670/58|Legionárska|Trenčín|['91101']|Slovenská republika|2010-03-24|
14496878|42081343|Stredisko Evanjelickej DIAKONIE Vranov nad Topľou||Cirkevná organizácia|||Vranov nad Topľou, Lúčna 814/57, 09301, Slovenská republika|57|Lúčna|Vranov nad Topľou|['09301']|Slovenská republika|2007-12-10|
689354|46155571|TOPCONTROL s.r.o.||Spoločnosť s ručením obmedzeným||||11628/38|Budovateľská|Prešov|['08001']|Slovenská republika|2011-05-05|
406882|31331785|RICOH Slovakia s.r.o.||Spoločnosť s ručením obmedzeným||||100/B|Vajnorská|Bratislava - mestská časť Nové Mesto|['83104']|Slovenská republika|1992-09-07|
998666|46113177|Energie2, a.s.||Akciová spoločnosť||||3a|Lazaretská|Bratislava|['81108']|Slovenská republika|2011-03-30|
215495|47892609|FLORA SERVIS GROUP, s.r.o.||Spoločnosť s ručením obmedzeným||||10/16|Bednárova|Myjava|['907 01']|Slovenská republika|2014-09-06|
9507759|||||||||||||2018-03-09|2023-08-03
704662|36445835|ELA VRANOV s.r.o.||Spoločnosť s ručením obmedzeným||||1289|Budovateľská|Vranov nad Topľou|['09301']|Slovenská republika|1997-04-07|
620730|36500771|STELL s.r.o.||Spoločnosť s ručením obmedzeným||||1580|Dobrianskeho|Vranov nad Topľou|['09301']|Slovenská republika|2005-01-01|
9370094|00332330|Obec Davidov||Obec (obecný úrad), mesto (mestský úrad)|||Davidov, Davidov 182|182|Davidov|Davidov|['09303']|Slovenská republika|1973-07-01|
776371|47249021|Vranovská nemocnica, a.s.||Akciová spoločnosť||||187/177 B|M. R. Štefánika|Vranov nad Topľou|['09327']|Slovenská republika|2013-06-29|
9461335|51420201|KOVMAK s.r.o.||Spoločnosť s ručením obmedzeným||||233|Poštová|Svidník|['08901']|Slovenská republika|2018-02-15|
6558471|50206648|Ján Meliško - MeliTech||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||22|Ulica V. Benedikta|Prievidza|['97101']|Slovenská republika|2016-02-22|
652412|36484687|STANOPROJEKT, s.r.o.||Spoločnosť s ručením obmedzeným||||4/31|Hlavná|Benkovce|['09402']|Slovenská republika|2003-03-27|
795188|44676441|EUprojects, s.r.o.||Spoločnosť s ručením obmedzeným||||71/1192|Kuzmányho|Košice|['04001']|Slovenská republika|2009-03-13|
825281|36601411|PLAYSYSTEM s.r.o.||Spoločnosť s ručením obmedzeným||||4|Rampová|Košice|['04001']|Slovenská republika|2005-12-24|
9781471|00681385|Výskumný ústav detskej psychológie a patopsychológie||Príspevková organizácia|||Bratislava - mestská časť Rača, Cyprichova 2480/42|42|Cyprichova|Bratislava - mestská časť Rača|['83105']|Slovenská republika|1990-07-01|
13696921|17070775|Prešovská univerzita v Prešove||Verejnoprávna inštitúcia||||15|Ul. 17. novembra|Prešov|['08001']|Slovenská republika|1997-01-01|
4621431|45736359|DataCentrum elektronizácie územnej samosprávy Slovenska||Záujmové združenie právnických osôb||||1|Námestie Mateja Korvína|Bratislava - mestská časť Staré Mesto|['81107']|Slovenská republika|2011-08-11|
697206|36492221|Bistro DOMINIKA s.r.o.||Spoločnosť s ručením obmedzeným||||17||Čičava|['09301']|Slovenská republika|2004-03-23|
775979|36486264|Slovak Medical Company, a.s.||Akciová spoločnosť||||1|Duchnovičovo nám.|Prešov|['08001']|Slovenská republika|2003-06-16|
4634902|45731195|Eurotrend, n.o.||Nezisková organizácia poskytujúca všeobecne prospešné služby||||16|Duchnovičova|Medzilaborce|['06801']|Slovenská republika|2009-12-04|
9370488|00323021|Mesto Humenné||Obec (obecný úrad), mesto (mestský úrad)|||Humenné, Kukorelliho 1501/34, 06628, Slovenská republika|34|Kukorelliho|Humenné|['06628']|Slovenská republika|1973-07-01|
836483|44984740|Baribal s.r.o.||Spoločnosť s ručením obmedzeným||||2134/21|Kežmarská cesta|Levoča|['05401']|Slovenská republika|2009-10-10|
10041294|52591387|MG DOKUMENT, s.r.o.||Spoločnosť s ručením obmedzeným||||7158/5|Legionárska|Trenčín|['91101']|Slovenská republika|2019-09-21|
9370174|00332887|Obec Tovarné||Obec (obecný úrad), mesto (mestský úrad)|||Tovarné, Tovarné 4|4|Tovarné|Tovarné|['09401']|Slovenská republika|1973-07-01|
753026|46057137|RE-MA spol. s r.o.||Spoločnosť s ručením obmedzeným||||959/6|Slanská|Vranov nad Topľou|['09303']|Slovenská republika|2011-04-13|
2725619|46755748|Radoslav Hudák - STOLÁRSTVO||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Skrabské|['09433']|Slovenská republika|2012-08-01|
4671544|42326656|Občianske združenie TOPTECH||Združenie (zväz, spolok, spoločnosť, klub ai.)||||15|Vrátna|Košice - mestská časť Staré Mesto|['04001']|Slovenská republika|2014-02-05|
17695010|56196521|Martina Dargajová||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Banské|['09412']|Slovenská republika|2024-04-04|
10088991|52714764|MADERA s.r.o.||Spoločnosť s ručením obmedzeným||||385|Haniska|Haniska|['04457']|Slovenská republika|2019-11-15|
4635628|22664980|Slovenský odborový zväz verejnej správy a kultúry||Združenie (zväz, spolok, spoločnosť, klub ai.)||||29B|Bajkalská|Bratislava - mestská časť Ružinov|['821 01']|Slovenská republika|1990-10-11|
9730125|31979408|Rímskokatolícka farnosť Najsvätejšej Trojice, Slovenská Kajňa||Cirkevná organizácia|||Slovenská Kajňa, Hlavná ulica 130/2, 09402, Slovenská republika|2|Hlavná ulica|Slovenská Kajňa|['09402']|Slovenská republika|1990-01-01|
913220|36727466|PROSERVIS Strážske, s. r. o.||Spoločnosť s ručením obmedzeným||||1305/101|Mierová|Strážske|['072 22']|Slovenská republika|2007-01-19|
9612841|51749386|SBA - B&T GROUP, s.r.o.||Spoločnosť s ručením obmedzeným||||4651/9|Štúrova|Topoľčany|['955 01']|Slovenská republika|2018-06-07|
646125|36869601|DUTO MONT, s.r.o.||Spoločnosť s ručením obmedzeným||||45||Tovarné|['09401']|Slovenská republika|2010-09-10|
9646793|00179205|Gréckokatolícke arcibiskupstvo Prešov||Cirkevná organizácia|||Prešov, Hlavná 2870/1, časť obce: Prešov, 081 35, Slovenská republika|1|Hlavná|Prešov|['081 35']|Slovenská republika|1976-12-31|
345464|47176253|TTP consulting s.r.o.||Spoločnosť s ručením obmedzeným||||368/47|Šoltésovej|Považská Bystrica|['01701']|Slovenská republika|2013-05-22|
2706451|33268398|Dušan Bilý||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||26|Okulka|Vranov nad Topľou|['09303']|Slovenská republika|1993-04-29|
14507943|31967060|Cirkevný zbor Evanjelickej cirkvi augsburského vyznania na Slovensku Chmeľov||Cirkevná organizácia|||Chmeľov, 71, 08215, Slovenská republika|||Chmeľov|['08215']|Slovenská republika|1994-01-01|
611158|44932766|TATRAMETAL PP s.r.o.||Spoločnosť s ručením obmedzeným||||2|Teplická cesta|Poprad|['05801']|Slovenská republika|2009-09-10|
994456|00151700|Allianz - Slovenská poisťovňa, a.s.||Akciová spoločnosť||||19|Pribinova|Bratislava - mestská časť Staré Mesto|['81109']|Slovenská republika|1991-11-12|
1000680|31721613|GAMA - poľnohospodárske družstvo Pavlovce nad Uhom||Družstvo||||č. 74||Pavlovce nad Uhom|['07214']|Slovenská republika|1996-02-14|
9849339|37781146|Hornozemplínska knižnica vo Vranove nad Topľou||Príspevková organizácia|||Vranov nad Topľou, M. R. Štefánika 875/200|200|M. R. Štefánika|Vranov nad Topľou|['09301']|Slovenská republika|1999-04-01|
13435093|37781278|Krajské múzeum v Prešove||Rozpočtová organizácia|||Prešov, Hlavná 2985/86, 08001, Slovenská republika|86|Hlavná|Prešov|['08001']|Slovenská republika|1999-04-01|
646489|47792957|RAMAR Export s.r.o.||Spoločnosť s ručením obmedzeným||||476|1. Mája|Spišská Stará Ves|['06101']|Slovenská republika|2014-06-19|
1758385|45005168|Ing. Ján Kočiš BEPOP||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||1|Ľud. Kukorelliho|Michalovce|['07101']|Slovenská republika|2003-07-09|
9735876|52070565|3MONT plus s.r.o.||Spoločnosť s ručením obmedzeným||||62/29|Sídlisko 1. mája|Vranov nad Topľou|['09301']|Slovenská republika|2018-11-20|
9498601|51449072|FORSEA, s. r. o.||Spoločnosť s ručením obmedzeným||||63||Sedliská|['09409']|Slovenská republika|2018-02-28|
2635469|48165671|Jaroslav Pavlík AGRO - TECH||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Mlynčeky|['05976']|Slovenská republika|2015-05-06|
6996019|50296523|Antolik, s.r.o.||Spoločnosť s ručením obmedzeným||||711/59|Slovenská|Hanušovce nad Topľou|['09431']|Slovenská republika|2016-04-29|
16127792|54423236|PRELESY, s.r.o.||Spoločnosť s ručením obmedzeným||||52||Ľuboreč|['985 11']|Slovenská republika|2022-02-15|
688860|36680702|BEPAX, s.r.o.||Spoločnosť s ručením obmedzeným||||4242/5|Rovná|Poprad|['05801']|Slovenská republika|2006-09-29|
616955|47588349|DAVIN s.r.o.||Spoločnosť s ručením obmedzeným||||109||Soľ|['094 35']|Slovenská republika|2013-12-20|
637445|36470694|SBK, s.r.o. Vranov nad Topľou||Spoločnosť s ručením obmedzeným||||1|B. Nemcovej|Vranov nad Topľou|['09301']|Slovenská republika|2001-01-15|
1002764|44387598|TOP SERVIS IT s.r.o.||Spoločnosť s ručením obmedzeným||||10|Krajná|Bratislava - mestská časť Ružinov|['82104']|Slovenská republika|2008-09-20|
14773768|17150981|Urbariát - pozemkové spoločenstvo Spišské Bystré||Pozemkové spoločenstvo||||134|SNP|Spišské Bystré|['05918']|Slovenská republika|1996-03-18|
2725197|41984170|Bartolomej Danko - Dankostav||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Nižný Hrabovec|['09421']|Slovenská republika|2006-03-11|
203002|36362727|||Spoločnosť s ručením obmedzeným|||||||||2006-05-25|2024-04-27
14925136|53375092|Milan Zajaroš||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Piskorovce|['09405']|Slovenská republika|2020-10-15|
1008848|44500734|SkyToll, a. s.||Akciová spoločnosť||||3/B|Lamačská cesta|Bratislava|['84104']|Slovenská republika|2008-11-12|
656658|36470317|ADS Vranov, s.r.o.||Spoločnosť s ručením obmedzeným||||1345|Mlynská|Vranov nad Topľou|['09301']|Slovenská republika|2001-01-03|
1193561|33157413|Ing. Iveta Sabaková||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||10|Agátová|Trebišov|['07501']|Slovenská republika|1993-06-04|
15878485|54067197|Generali Slovenská distribúcia, a. s.||Akciová spoločnosť||||6257/ 3/A|Lamačská cesta|Bratislava - mestská časť Karlova Ves|['841 04']|Slovenská republika|2021-10-02|
16266152|54607051|KOVÁČ ARCHITEKT s.r.o.||Spoločnosť s ručením obmedzeným||||1028/12|Krakovská|Košice - mestská časť Juh|['040 11']|Slovenská republika|2022-05-13|
4644015|30778867|Slovenská akademická asociácia pre medzinárodnú spoluprácu||Združenie (zväz, spolok, spoločnosť, klub ai.)||||9|Križkova|Bratislava - mestská časť Staré Mesto|['81104']|Slovenská republika|1992-05-21|
745790|44228805|ML - audit, s. r. o.||Spoločnosť s ručením obmedzeným||||658/7|čat. Nebiljaka|Svidník|['08901']|Slovenská republika|2008-06-19|
9389295|00166197|Štatistický úrad Slovenskej republiky||Rozpočtová organizácia|||Bratislava - mestská časť Karlova Ves, Lamačská cesta 3/C, 84005, Slovenská republika|3/C|Lamačská cesta|Bratislava - mestská časť Karlova Ves|['84005']|Slovenská republika|1969-01-01|
652758|31717802|INTRAVENA s.r.o.||Spoločnosť s ručením obmedzeným||||9|Levočská|Prešov|['08001']|Slovenská republika|1995-12-06|
434038|46920765|UNIKOV NITRA, s.r.o.||Spoločnosť s ručením obmedzeným||||4|Lehotská|Nitra|['94901']|Slovenská republika|2012-11-24|
4728547|45732370|Nový Domov Vranov n.T.-Lomnica, n.o.||Nezisková organizácia poskytujúca všeobecne prospešné služby||||44|Šandalská|Stropkov|['09101']|Slovenská republika|2010-02-18|
1013002|36677281|ZSE Energia, a.s.||Akciová spoločnosť||||6|Čulenova|Bratislava|['81647']|Slovenská republika|2006-09-22|
624995|31413056|Invest Leasing s r. o.||Spoločnosť s ručením obmedzeným||||1|Duchnovičovo nám.|Prešov|['08001']|Slovenská republika|1992-05-05|
736314|36466778|KRÍDLA, s.r.o.||Spoločnosť s ručením obmedzeným||||94|Mierova|Humenné|['06601']|Slovenská republika|2000-05-31|
9755502|52083900|ATH-PO Trade s.r.o.||Spoločnosť s ručením obmedzeným||||225/19|Slnečný háj|Záborské|['082 53']|Slovenská republika|2018-12-18|
1061843|47519045|PROFI Výťahy s. r. o.||Spoločnosť s ručením obmedzeným||||34|Drieňová|Bratislava - mestská časť Ružinov|['82102']|Slovenská republika|2013-11-07|
8747377|50451316|iProduct s.r.o.||Spoločnosť s ručením obmedzeným||||81/A|Makarenkova|Ľubotice|['08006']|Slovenská republika|2016-08-24|
590949|31320155|||Akciová spoločnosť|||||||||1992-08-21|2003-08-20
9985485|42234531|Horný Zemplín||Nezisková organizácia|||Slovenská Kajňa, Malá Domaša 094 02 Slovenská Kajňa 106, Slovenská republika||Malá Domaša 094 02 Slovenská Kajňa|Slovenská Kajňa||Slovenská republika|2012-02-24|
844236|47480751|E.N.E.S. spol. s r.o.||Spoločnosť s ručením obmedzeným||||307/31|Pionierska ul.|Šaľa|['92701']|Slovenská republika|2013-10-25|
1027117|47633875|Konica Minolta Marketing Services Limited, organizačná zložka||Nešpecifikovaná právna forma||||17/B|Galvaniho|Bratislava - mestská časť Ružinov|['82104']|Slovenská republika|2014-01-23|
752093|44026978|Gard land s.r.o.||Spoločnosť s ručením obmedzeným||||14|Jasuschova|Košice|['04023']|Slovenská republika|2008-03-14|
946612|45875669|NAJ - STAV s.r.o.||Spoločnosť s ručením obmedzeným||||3063||Vinné|['07231']|Slovenská republika|2010-10-02|
993452|35975946|Disig, a.s.||Akciová spoločnosť||||17/C|Galvaniho|Bratislava - mestská časť Ružinov|['82104']|Slovenská republika|2006-01-25|
9372851|00332259|Obec Banské||Obec (obecný úrad), mesto (mestský úrad)|||Banské, Banské 320|320|Banské|Banské|['09412']|Slovenská republika|1973-07-01|
9856658|52331687|Hotel Mamut s. r. o.||Spoločnosť s ručením obmedzeným||||16999/12|Jégeho|Bratislava - mestská časť Ružinov|['82108']|Slovenská republika|2019-04-05|
2737582|41803523|Slavka Ivanová - ŠTýL||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||12|Sládkovičova|Vranov nad Topľou|['09302']|Slovenská republika|2005-11-12|
891160|46801626|EURO KM, s. r. o.||Spoločnosť s ručením obmedzeným||||4|Rampová|Košice|['04001']|Slovenská republika|2012-09-01|
1473868|37601717|Ing. Peter Majčin - RIS||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||20|M. Šinského|Žilina|['01007']|Slovenská republika|2001-06-01|
17646947|56136021|Ing. Branislav Zaputil||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Majerovce|['09409']|Slovenská republika|2024-03-06|
9450444|51329182|Úradovňa plus, s.r.o.||Spoločnosť s ručením obmedzeným||||14|Jarková|Prešov|['08001']|Slovenská republika|2018-02-07|
4687098|00687308|Slovenský futbalový zväz||Združenie (zväz, spolok, spoločnosť, klub ai.)||||30C|Tomášikova|Bratislava - mestská časť Ružinov|['82101']|Slovenská republika|1990-08-10|
1013242|35763469|Slovak Telekom, a.s.||Akciová spoločnosť||||28|Bajkalská|Bratislava|['81762']|Slovenská republika|1999-04-01|
665489|17083851|PRO POPULO Poprad, s.r.o.||Spoločnosť s ručením obmedzeným||||329|Obrancov mieru|Spišská Teplica|['05934']|Slovenská republika|1991-10-22|
9371191|00332470|Obec Kladzany||Obec (obecný úrad), mesto (mestský úrad)|||Kladzany, Kladzany 100|100|Kladzany|Kladzany|['09421']|Slovenská republika|1973-07-01|
9372433|00332828|Obec Sečovská Polianka||Obec (obecný úrad), mesto (mestský úrad)|||Sečovská Polianka, Hlavná 132/135|135|Hlavná|Sečovská Polianka|['09414']|Slovenská republika|1973-07-01|
1168130|33576009|Ing. Ján Buchanec Technik||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||14|Jesenského|Martin|['03601']|Slovenská republika|1993-05-28|
4666944|42134064|Nadácia Allianz||Nadácia||||19|Pribinova|Bratislava - mestská časť Staré Mesto|['811 09']|Slovenská republika|2008-06-17|
347167|44506457|Crew, s. r. o.||Spoločnosť s ručením obmedzeným|||||Miletičova 27|Bratislava|['82109']|Slovenská republika|2008-11-22|
1001466|35709332|||Akciová spoločnosť|||||||||1997-02-12|2022-11-24
698526|45352305|MK hlas, s. r. o.||Spoločnosť s ručením obmedzeným||||73/5|Bernolákova|Sabinov|['08301']|Slovenská republika|2010-01-08|
320769|44010834|ALBERA Slovensko s. r. o.||Spoločnosť s ručením obmedzeným||||991|Moravské Lieskové|Moravské Lieskové|['91642']|Slovenská republika|2008-02-29|
668389|31728499|Lesostav Poprad, s.r.o.||Spoločnosť s ručením obmedzeným||||29|Levočská|Poprad|['05801']|Slovenská republika|1996-06-03|
708190|36377406|AUTOKAROS, a.s.||Akciová spoločnosť||||89|Bytčická|Žilina|['01001']|Slovenská republika|1997-12-18|
9370504|00332399|Mesto Hanušovce nad Topľou||Obec (obecný úrad), mesto (mestský úrad)|||Hanušovce nad Topľou, Mierová 333/3|3|Mierová|Hanušovce nad Topľou|['09431']|Slovenská republika|1973-07-01|
15364081|42089816|Spojená škola, Budovateľská 1309, Vranov nad Topľou||Rozpočtová organizácia||||1309|Budovateľská|Vranov nad Topľou||Slovenská republika|2010-01-01|
15136839|37873393|Základná škola, Kukučínova ulica 106, Vranov nad Topľou||Rozpočtová organizácia||||106|Kukučínova ulica|Vranov nad Topľou||Slovenská republika|1948-01-17|
268034|17682258|FEREX, s.r.o.||Spoločnosť s ručením obmedzeným||||23|Vodná|Nitra|['94901']|Slovenská republika|1991-08-23|
385727|00151653|||Organizačná zložka podniku|||||||||1800-01-01|2002-07-25
9371438|36138517|Slovenská národná knižnica||Rozpočtová organizácia|||Martin, Námestie J. C. Hronského 26/1, časť obce: Martin, 03601, Slovenská republika|1|Námestie J. C. Hronského|Martin|['03601']|Slovenská republika|1997-09-01|
9389373|00164381|Ministerstvo školstva, výskumu, vývoja a mládeže Slovenskej republiky||Rozpočtová organizácia|||Bratislava - mestská časť Nové Mesto, Stromová 2665/1, 81330, Slovenská republika|1|Stromová|Bratislava - mestská časť Nové Mesto|['81330']|Slovenská republika|1988-05-01|
826587|47192941|Galileo Corporation s.r.o.||Spoločnosť s ručením obmedzeným||||468|Čierna Voda|Čierna Voda|['925 06']|Slovenská republika|2013-06-11|
7019415|50310810|RAVOZA s.r.o.||Spoločnosť s ručením obmedzeným||||3662|Vinné|Vinné|['07231']|Slovenská republika|2016-05-05|
